popularity,acousticness,danceability,instrumentalness,speechiness,liveness,energy,loudness,valence,duration_ms,tempo,key,mode
59,0.248,0.729,0,0.0533,0.114,0.406,-9.388,0.177,199387,127.954,8,1
59,0.895,0.379,0.0718,0.0309,0.115,0.373,-12.176,0.352,259253,176.002,3,0
59,0.00204,0.853,4.43E-06,0.204,0.101,0.438,-9.146,0.151,217208,126.05,1,1
59,0.00271,0.813,0,0.263,0.191,0.646,-4.901,0.375,173437,77.518,4,1
59,0.108,0.548,0,0.0287,0.0852,0.742,-4.757,0.352,219293,143.966,1,1
59,0.225,0.567,0,0.0317,0.138,0.622,-4.29,0.336,220213,135.97,4,1
59,0.0925,0.895,0.00552,0.186,0.585,0.525,-7.969,0.202,193513,87.999,10,0
59,0.0312,0.748,0,0.0498,0.0721,0.779,-4.28,0.326,147616,130.027,1,1
59,0.000148,0.714,0.864,0.0569,0.0819,0.853,-4.45,0.2,228780,128.051,3,1
59,0.286,0.598,0,0.452,0.0875,0.605,-4.92,0.513,194792,159.517,7,0
59,0.574,0.872,1.79E-06,0.0629,0.0617,0.541,-6.932,0.589,188917,133.005,0,1
59,0.0598,0.706,0,0.37,0.164,0.637,-7.284,0.528,146923,85.819,8,0
59,0.0607,0.719,0,0.397,0.0728,0.626,-9.351,0.179,286730,75.032,8,1
59,0.444,0.727,0,0.0987,0.118,0.48,-9.278,0.369,269053,120.025,5,0
59,0.0146,0.565,0,0.0384,0.0606,0.857,-4.519,0.632,197387,126.072,2,1
59,0.00377,0.647,1.69E-06,0.083,0.0574,0.932,-3.517,0.387,198774,115,11,1
59,0.305,0.75,0.0043,0.0675,0.0621,0.636,-8.473,0.33,185143,139.983,1,1
59,0.122,0.652,0.00039,0.0262,0.169,0.669,-7.797,0.769,194009,115.047,11,0
59,0.00142,0.772,0,0.0737,0.617,0.787,-2.8,0.631,176308,98.011,2,1
59,0.124,0.667,0,0.314,0.0725,0.873,-5.605,0.799,217104,81.052,10,1
59,0.219,0.345,5.51E-06,0.0292,0.0549,0.377,-7.715,0.0767,424373,139.798,7,1
59,0.0466,0.862,5.00E-05,0.447,0.119,0.521,-10.355,0.373,167040,154.983,8,1
59,0.57,0.73,0,0.0565,0.158,0.494,-6.402,0.561,247293,86.732,10,1
59,0.579,0.699,7.16E-06,0.0296,0.167,0.808,-5.926,0.794,226667,111.977,3,1
59,0.112,0.461,0,0.0325,0.116,0.802,-4.448,0.342,221333,144.518,0,1
59,0.164,0.749,1.22E-05,0.141,0.176,0.755,-5.875,0.323,164400,102.973,0,1
59,0.188,0.671,0,0.0373,0.182,0.75,-6.128,0.76,230857,105.051,6,1
59,0.181,0.624,0,0.0436,0.19,0.686,-4.809,0.223,193510,160.076,1,0
59,0.049,0.556,0.00053,0.0525,0.0943,0.892,-2.841,0.264,211160,101.069,7,1
59,0.0943,0.801,9.35E-05,0.0543,0.193,0.491,-9.088,0.822,220800,125.049,0,1
59,0.42,0.548,0,0.0375,0.105,0.497,-8.489,0.118,242517,109.906,10,1
